OlinkID	Symbol	CSF_belowLOD	Plasma_belowLOD
OID20825	GLT8D2	True	True
OID20826	RASA1	False	True
OID20827	DUSP3	True	False
OID20828	FGR	True	False
OID20829	HSP90B1	True	True
OID20830	MAPT	False	True
OID20831	CLSPN	True	True
OID20832	PADI4	True	True
OID20833	IVD	False	False
OID20834	NOS3	True	False
OID20835	PLIN1	True	False
OID20836	CETN2	True	False
OID20837	STK24	True	True
OID20838	GGA1	True	True
OID20839	PBLD	True	False
OID20840	EPHA10	False	False
OID20841	GHRHR	True	False
OID20890	GPKOW	True	False
OID20891	ECE1	False	False
OID20892	PFDN2	True	True
OID20893	CASP10	True	True
OID20855	ILKAP	False	True
OID20856	BAX	True	False
OID20857	CERT	True	True
OID20858	MRPL46	True	True
OID20867	PRTFDC1	True	False
OID20868	TST	True	False
OID20869	XRCC4	True	True
OID20870	TARBP2	False	False
OID20871	NEFL	False	False
OID20872	FHIT	True	False
OID20873	KIRREL2	False	False
OID20874	CLSTN1	False	False
OID20875	TDRKH	True	False
OID20876	GSTP1	False	True
OID20877	MAX	True	False
OID20878	S100A16	True	False
OID20879	DCTN6	False	False
OID20880	PTK7	False	False
OID20881	KEL	True	False
OID20882	WASF3	True	True
OID20883	BRK1	True	False
OID20884	FMNL1	True	False
OID20885	GKN1	True	False
OID20886	ANXA10	True	False
OID20887	HMOX2	False	False
OID20888	KLB	True	False
OID20889	ISLR2	False	False
OID20894	TIGAR	False	True
OID20895	AKT1S1	True	False
OID20896	AGR2	True	False
OID20818	SSB	True	True
OID20819	PAK4	True	True
OID20820	SIRT5	False	False
OID20821	LYPD1	True	False
OID20822	PXN	True	False
OID20823	IDI2	True	True
OID20824	LIF	False	False
OID20790	SESTD1	True	True
OID20791	FOSB	True	False
OID20792	NDRG1	False	False
OID20793	ODAM	True	False
OID20794	PTEN	True	True
OID20842	TPPP3	True	False
OID20843	ATP6V1F	True	True
OID20844	TBC1D17	True	False
OID20845	GBP4	True	True
OID20846	FKBP7	True	True
OID20847	PTS	False	False
OID20848	TNF	True	False
OID20849	NXPH1	False	False
OID20850	PMVK	True	False
OID20851	VSTM1	True	False
OID20852	SLC39A14	True	False
OID20853	ING1	False	False
OID20854	CASP1	True	True
OID20859	CARHSP1	True	False
OID20860	KRT5	True	False
OID20861	GDNF	True	False
OID20862	SLIT2	True	False
OID20863	NOS1	False	False
OID20864	C2CD2L	False	False
OID20865	ATXN10	True	False
OID20866	MUC13	True	False
OID20795	IFNL1	True	True
OID20796	SMARCA2	True	False
OID20797	COPE	True	True
OID20798	ATF2	True	True
OID20799	SLC16A1	False	False
OID20800	KRT14	True	True
OID20801	CALB2	False	False
OID20803	ARID4B	True	True
OID20804	C19orf12	True	False
OID20805	SCARB1	True	True
OID20806	AMFR	True	False
OID20807	MMP13	True	True
OID20808	CDHR1	False	False
OID20809	IL34	False	False
OID20810	ANXA5	True	True
OID20811	ATP5PO	True	True
OID20812	SIGLEC15	True	False
OID20813	KCNIP4	False	True
OID20814	SLC27A4	True	False
OID20815	METAP1	True	True
OID20816	TDGF1	False	False
OID20817	RAB6B	True	True
OID20906	SKAP1	True	False
OID20907	IMPA1	False	False
OID20908	PTPN1	False	False
OID20909	GGT5	False	False
OID20910	CLPP	True	False
OID20911	IL6	False	False
OID20912	PTPRN2	False	False
